epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,162.901,0.46871,0.51797,0.90868,0.77757,0.61667,0.64061,0.51709,1.02634,0.8608,1.45828,0.00176806,0.00176806,0.00176806
43,166.021,0.45865,0.45842,0.91258,0.66056,0.66667,0.65492,0.50903,1.07071,1.11533,1.58113,0.0017624,0.0017624,0.0017624
44,169.043,0.46036,0.48406,0.90822,0.69085,0.73333,0.68134,0.58129,0.90273,0.93441,1.41116,0.00175674,0.00175674,0.00175674
45,171.857,0.4663,0.4562,0.90606,0.68738,0.75,0.69831,0.60227,0.92538,0.89424,1.41724,0.00175109,0.00175109,0.00175109
46,176.316,0.47434,0.43331,0.92691,0.69318,0.71667,0.70794,0.64253,0.93063,0.78252,1.42221,0.00174543,0.00174543,0.00174543
47,180.908,0.43657,0.46332,0.90021,0.72528,0.70407,0.71855,0.66162,0.81753,0.73264,1.34267,0.00173977,0.00173977,0.00173977
48,184.22,0.49625,0.48735,0.94411,0.66189,0.81667,0.70968,0.63908,0.83641,0.75666,1.34371,0.00173411,0.00173411,0.00173411
49,187.167,0.44727,0.43964,0.9039,0.71897,0.73333,0.75111,0.67226,0.83984,0.72756,1.37053,0.00172846,0.00172846,0.00172846
50,190.242,0.45083,0.45081,0.9109,0.74334,0.72414,0.79493,0.67989,0.79216,0.81784,1.35186,0.0017228,0.0017228,0.0017228
51,195.211,0.44629,0.4405,0.9003,0.67422,0.83333,0.74638,0.64182,0.77909,0.97522,1.27697,0.00171714,0.00171714,0.00171714
52,199.085,0.47031,0.4766,0.90972,0.58169,0.8,0.61936,0.53848,0.94779,0.93138,1.40818,0.00171149,0.00171149,0.00171149
53,201.846,0.47797,0.45023,0.9225,0.59564,0.76667,0.61363,0.53519,0.97954,0.97136,1.46667,0.00170583,0.00170583,0.00170583
54,204.781,0.51587,0.47249,0.96018,0.66592,0.79735,0.65404,0.59195,0.891,0.75262,1.41534,0.00170017,0.00170017,0.00170017
55,207.708,0.46635,0.44062,0.88872,0.79488,0.83971,0.88683,0.74377,0.66586,0.75521,1.19738,0.00169451,0.00169451,0.00169451
56,212.602,0.45283,0.438,0.90614,0.81656,0.75,0.87051,0.74678,0.58486,0.81481,1.04912,0.00168886,0.00168886,0.00168886
57,216.275,0.43177,0.42063,0.9026,0.7241,0.73333,0.79435,0.71576,0.64636,0.93219,1.10568,0.0016832,0.0016832,0.0016832
58,219.269,0.41851,0.39944,0.8796,0.61905,0.73129,0.72695,0.63529,0.78392,0.89042,1.23757,0.00167754,0.00167754,0.00167754
59,222.06,0.43888,0.4085,0.91922,0.82018,0.71667,0.75015,0.60366,0.9105,0.99043,1.3929,0.00167189,0.00167189,0.00167189
60,225.503,0.48023,0.4715,0.90402,0.6341,0.57774,0.55617,0.43375,0.91551,1.34931,1.44971,0.00166623,0.00166623,0.00166623
61,230.027,0.4424,0.48183,0.91944,0.5617,0.65,0.56325,0.43612,0.9006,1.41725,1.44669,0.00166057,0.00166057,0.00166057
62,233.734,0.46346,0.47342,0.89843,0.76097,0.75,0.77223,0.64933,0.74872,0.88577,1.21286,0.00165491,0.00165491,0.00165491
63,236.711,0.43698,0.43293,0.90223,0.89338,0.69828,0.79169,0.66443,0.70586,0.86436,1.11684,0.00164926,0.00164926,0.00164926
64,239.593,0.42916,0.44334,0.88436,0.73074,0.76667,0.72865,0.66146,0.77976,0.61915,1.30424,0.0016436,0.0016436,0.0016436
65,242.792,0.41582,0.48933,0.89545,0.81207,0.7,0.70945,0.63912,0.78711,0.74949,1.31693,0.00163794,0.00163794,0.00163794
66,247.865,0.43729,0.41788,0.92629,0.6476,0.73333,0.66698,0.59399,0.83773,0.87068,1.43932,0.00163229,0.00163229,0.00163229
67,251.003,0.43656,0.43675,0.89536,0.6773,0.91667,0.84257,0.78438,0.51251,0.79707,1.07245,0.00162663,0.00162663,0.00162663
68,253.933,0.43564,0.42489,0.88381,0.85975,0.71524,0.85326,0.77148,0.58087,0.74964,1.09196,0.00162097,0.00162097,0.00162097
69,256.824,0.43149,0.41618,0.90743,0.83113,0.76667,0.83326,0.75675,0.68203,0.77074,1.21659,0.00161531,0.00161531,0.00161531
70,260.503,0.41607,0.3976,0.89398,0.75832,0.78333,0.74381,0.68387,0.7249,0.82855,1.31143,0.00160966,0.00160966,0.00160966
71,266.056,0.40905,0.4038,0.88463,0.69517,0.76667,0.72791,0.64877,0.77322,0.83991,1.3537,0.001604,0.001604,0.001604
72,269.118,0.41592,0.38413,0.90059,0.80403,0.76667,0.78764,0.69458,0.85373,0.76128,1.42353,0.00159834,0.00159834,0.00159834
73,271.996,0.44115,0.41431,0.9127,0.78237,0.71902,0.78363,0.70605,0.84179,0.68162,1.40043,0.00159269,0.00159269,0.00159269
74,274.899,0.41877,0.37088,0.89027,0.82849,0.80518,0.82598,0.74423,0.70577,0.56306,1.21648,0.00158703,0.00158703,0.00158703
75,278.732,0.43976,0.38662,0.91008,0.82795,0.93333,0.89539,0.817,0.49453,0.49252,1.01848,0.00158137,0.00158137,0.00158137
76,283.726,0.42078,0.37893,0.88978,0.69509,0.8,0.70141,0.65863,0.69125,0.70032,1.28658,0.00157571,0.00157571,0.00157571
77,286.709,0.44176,0.43724,0.89691,0.66565,0.8,0.69408,0.64125,0.74834,0.72509,1.33908,0.00157006,0.00157006,0.00157006
78,289.637,0.4204,0.36337,0.90222,0.66572,0.8,0.73855,0.6735,0.8629,0.70413,1.42817,0.0015644,0.0015644,0.0015644
79,292.534,0.43128,0.39675,0.90978,0.65655,0.8,0.70986,0.62465,0.91033,0.72193,1.45135,0.00155874,0.00155874,0.00155874
80,296.455,0.43518,0.37806,0.89817,0.73764,0.74976,0.76391,0.6546,0.85143,0.66677,1.39028,0.00155309,0.00155309,0.00155309
81,301.115,0.42689,0.39674,0.90637,0.68767,0.81667,0.75687,0.66732,0.8258,0.66046,1.40493,0.00154743,0.00154743,0.00154743
82,304.141,0.39586,0.36374,0.88289,0.68327,0.8,0.76224,0.69201,0.8475,0.63083,1.4603,0.00154177,0.00154177,0.00154177
83,307.247,0.40095,0.36141,0.88181,0.67097,0.81667,0.75838,0.67198,0.89309,0.65232,1.48101,0.00153611,0.00153611,0.00153611
84,310.056,0.3969,0.35909,0.87339,0.67888,0.66949,0.69813,0.62252,0.95643,0.79364,1.55883,0.00153046,0.00153046,0.00153046
85,314.354,0.40891,0.37953,0.89858,0.61544,0.68333,0.64899,0.57036,0.98511,0.97198,1.62779,0.0015248,0.0015248,0.0015248
86,318.49,0.39585,0.33851,0.88382,0.72791,0.62432,0.71212,0.64594,0.93444,0.76873,1.49967,0.00151914,0.00151914,0.00151914
87,321.275,0.38788,0.34037,0.8696,0.65192,0.78333,0.70707,0.64947,0.83296,0.68247,1.40026,0.00151349,0.00151349,0.00151349
88,323.987,0.41283,0.34321,0.92385,0.65607,0.8,0.64174,0.59161,0.83079,0.67303,1.36603,0.00150783,0.00150783,0.00150783
89,327.368,0.38902,0.3506,0.88779,0.65175,0.78333,0.63764,0.58787,0.84178,0.73163,1.38146,0.00150217,0.00150217,0.00150217
90,332.096,0.41261,0.34274,0.89152,0.66485,0.8,0.64171,0.59738,0.84665,0.75359,1.38282,0.00149651,0.00149651,0.00149651
91,335.748,0.40085,0.3639,0.89763,0.66581,0.8,0.64496,0.60289,0.78719,0.75584,1.32698,0.00149086,0.00149086,0.00149086
92,338.666,0.38867,0.33881,0.87487,0.66244,0.8,0.65238,0.59942,0.75822,0.71937,1.30863,0.0014852,0.0014852,0.0014852
93,341.706,0.40302,0.34065,0.88447,0.66,0.8,0.68322,0.63109,0.75694,0.70688,1.31022,0.00147954,0.00147954,0.00147954
94,345.382,0.40317,0.34269,0.88786,0.68122,0.76667,0.70845,0.66854,0.74297,0.62577,1.30532,0.00147389,0.00147389,0.00147389
95,349.989,0.40464,0.33806,0.89083,0.70095,0.78333,0.76701,0.72647,0.76149,0.62023,1.31769,0.00146823,0.00146823,0.00146823
96,353.373,0.39529,0.33091,0.87896,0.70265,0.78333,0.75887,0.71945,0.78011,0.59517,1.35622,0.00146257,0.00146257,0.00146257
97,356.123,0.38989,0.33332,0.89801,0.70188,0.78333,0.75666,0.70445,0.78294,0.60727,1.36336,0.00145691,0.00145691,0.00145691
98,359.099,0.37899,0.3257,0.88208,0.67871,0.77462,0.73231,0.69308,0.77634,0.64814,1.37438,0.00145126,0.00145126,0.00145126
99,362.6,0.37646,0.31683,0.89706,0.68541,0.7989,0.72647,0.67619,0.79458,0.67653,1.39983,0.0014456,0.0014456,0.0014456
100,367.761,0.39183,0.33647,0.89045,0.64434,0.81528,0.71923,0.64033,0.88717,0.7741,1.4805,0.00143994,0.00143994,0.00143994
101,370.89,0.41887,0.35347,0.87965,0.67797,0.7,0.72876,0.63146,1.00045,0.87767,1.69718,0.00143429,0.00143429,0.00143429
102,373.814,0.41708,0.35021,0.90739,0.65668,0.8,0.70028,0.60553,0.93244,0.8526,1.5881,0.00142863,0.00142863,0.00142863
103,376.769,0.40309,0.34126,0.87228,0.66642,0.8,0.68054,0.64114,0.77742,0.7002,1.35677,0.00142297,0.00142297,0.00142297
104,380.603,0.37201,0.3425,0.88946,0.6645,0.8,0.66522,0.61868,0.81626,0.73105,1.36611,0.00141731,0.00141731,0.00141731
105,385.356,0.38596,0.34782,0.88656,0.6434,0.8,0.67504,0.62251,0.83866,0.76122,1.3699,0.00141166,0.00141166,0.00141166
106,388.422,0.39932,0.35383,0.88265,0.66127,0.81667,0.63357,0.57702,0.85938,0.74151,1.34548,0.001406,0.001406,0.001406
107,391.336,0.38591,0.33137,0.8705,0.62872,0.78333,0.63349,0.57617,0.83476,0.77821,1.35316,0.00140034,0.00140034,0.00140034
108,394.186,0.38132,0.3283,0.88149,0.65976,0.78333,0.65152,0.60788,0.81189,0.77182,1.34722,0.00139469,0.00139469,0.00139469
109,397.769,0.38066,0.3334,0.88496,0.65012,0.78333,0.58752,0.53916,0.8203,0.78258,1.34783,0.00138903,0.00138903,0.00138903
